writer_id,name,country,medium_link,subscribed_times,last_article_date,articles_link,articles_published,avg_article_length,topic_tags,personal_projects_count,payment_method,phone_number,email
1,Christian Barajas,"New Richardland, Cape Verde",https://medium.com/@jeremy72,4,2022-12-04,https://medium.com/article/adfe0a20-9bb2-412d-85a5-8042d6edff7a,2,248,"AI,ML,Data",1,Stripe,716224853857236,mmorris@gmail.com
2,Edward Zavala,"West Stephanie, Korea",https://medium.com/@fellis,3,2022-03-13,https://medium.com/article/d56e2b03-b119-4005-99da-b6fd98a5492b,14,225,"ML,Deep Learning",5,PayPal,(311)174-031136277,markschmitt@gmail.com
3,Matthew Stanton,"New Matthewfurt, Guam",https://medium.com/@zrobinson,3,2016-01-26,https://medium.com/article/fac2d12d-af0c-4a5c-a289-1e8cf9e043f9,45,643,"AI,ML,Data",14,Wise,+1-328-808-5558,lpowell@gmail.com
4,Ian Marshall,"Rachaelmouth, Lithuania",https://medium.com/@wrightbenjamin,4,2024-10-08,https://medium.com/article/2015dabd-5703-4499-befc-bbc60bf8e1ee,50,1721,"Health,Wellness",5,PayPal,8560587534,andreastewart@gmail.com
5,Logan Garcia,"Markstad, Uruguay",https://medium.com/@tinacabrera,3,2023-02-16,https://medium.com/article/9d317253-36d2-4a4e-9c8d-d8babe65ff08,2,356,"Startups,Entrepreneurship",14,CashApp,001-334-454-0227,montgomeryjoel@gmail.com
6,Michelle Jefferson MD,"South Ian, Djibouti",https://medium.com/@bnoble,3,2023-01-20,https://medium.com/article/1b7c05c4-3fad-44d6-a06f-23d280701def,5,1058,"Startups,Entrepreneurship",10,Bank Transfer,+1-275-529-8148,garyjones@gmail.com
7,Cristian Watkins,"Rodriguezview, Argentina",https://medium.com/@haydenjodi,1,2021-04-04,https://medium.com/article/001593c2-5712-4286-b249-b0413df2baf2,37,866,"Finance,Investing",12,Wise,+1-195-184-80793167,staceyrobertson@gmail.com
8,Brian Smith,"New Maxwell, Montserrat",https://medium.com/@grace20,1,2018-09-04,https://medium.com/article/9fc8cd8d-6b7f-4256-8154-7eab44d69702,35,573,"Health,Wellness",10,Wise,752-791-102452187,jstevens@gmail.com
9,George Dunn,"Richardhaven, Cape Verde",https://medium.com/@melissa10,4,2021-10-24,https://medium.com/article/7782195b-e0c3-42aa-8e43-8f38aaa1e25d,31,808,"AI,NLP",3,CashApp,(930)798-64213281,natalieflynn@gmail.com
10,Alan Phillips,"Cohenfurt, Macedonia",https://medium.com/@charles70,1,2016-08-15,https://medium.com/article/e5a0a5fb-f01d-4574-a985-f3663d346279,10,962,"Travel,Blog",9,CashApp,119-926-8710,mcbridedaniel@gmail.com
11,Leslie Carpenter,"Port Melissafort, Bhutan",https://medium.com/@misty83,4,2024-07-09,https://medium.com/article/ec5dc10e-743d-4245-a4d2-e9c685f50501,14,1141,"Travel,Blog",13,PayPal,+1-707-554-20930698,halldominique@gmail.com
12,Matthew Goodman,"Greenton, Guernsey",https://medium.com/@hughesernest,1,2021-11-23,https://medium.com/article/ecd2ebfa-ae34-4d80-860f-f13757262737,1,358,"Startups,Entrepreneurship",1,Wise,(452)604-69316424,sarahbryant@gmail.com
13,Sally Williams,"Coryside, Mali",https://medium.com/@vschmidt,1,2015-09-02,https://medium.com/article/4915bc6c-8f49-4b97-9a3c-a734d47dfd42,44,786,"AI,ML,Data",8,Wise,001-459-166-460749889,natashameadows@gmail.com
14,Matthew Mora,"Matthewchester, New Zealand",https://medium.com/@kathrynbauer,2,2019-11-12,https://medium.com/article/b6c644aa-c2bc-44ab-b17c-8a82a0bffe62,46,864,"AI,ML,Data",8,CashApp,3494809908669,nathanbest@gmail.com
15,Jason Horton,"West Sarah, Turks and Caicos Islands",https://medium.com/@jeffrey44,3,2016-01-20,https://medium.com/article/4337ea5e-588d-402b-8d67-1c21ca9d9caa,24,195,"Finance,Investing",11,Stripe,(636)355-4898114,bprice@gmail.com
16,Christopher Griffin,"Tracyburgh, Burkina Faso",https://medium.com/@zdixon,4,2019-10-02,https://medium.com/article/ae2a3b86-d92e-4f90-a0b1-ae5fceceda31,17,191,"AI,ML,Data",12,PayPal,+1-188-831-02108200,kleinroberta@gmail.com
17,Gabriel Kelley,"Lake George, Armenia",https://medium.com/@wmiller,3,2018-12-14,https://medium.com/article/31df5236-6ebf-46b2-a402-c609bf986658,29,814,"ML,Deep Learning",5,Bank Transfer,082-860-17209728,cantufred@gmail.com
18,Taylor Miller,"Smithton, Korea",https://medium.com/@gthomas,4,2020-06-16,https://medium.com/article/d45e5627-9087-478a-94e4-f494293b910d,16,332,"Health,Wellness",9,Bank Transfer,+1-143-913-2944203,ihoward@gmail.com
19,Kimberly Guzman,"Alvarezberg, Indonesia",https://medium.com/@mflores,1,2020-05-22,https://medium.com/article/cda87095-3342-4b7f-bae3-dc0086e54f91,27,1031,"Startups,Entrepreneurship",0,CashApp,998-354-2239,qgill@gmail.com
20,Nicolas Mendez,"Choifurt, Sudan",https://medium.com/@christophershepherd,0,2019-06-29,https://medium.com/article/5a816d82-755a-4352-b38b-6f76b54e8754,6,1884,"Finance,Investing",5,Bank Transfer,(033)256-905146534,elizabeth46@gmail.com
21,Jordan Larson,"Arnoldville, Korea",https://medium.com/@knoxmolly,3,2023-12-31,https://medium.com/article/92f14351-bc6e-4779-a11e-1d09badf12a0,17,756,"AI,ML,Data",5,Wise,+1-651-533-3570999,sarahbrown@gmail.com
22,Mark Richardson,"Robertbury, Tanzania",https://medium.com/@colonbenjamin,4,2017-11-11,https://medium.com/article/5c8b0308-a009-4435-924e-92307d9cb893,0,605,"Startups,Entrepreneurship",7,Stripe,016-286-6806,rosekara@gmail.com
23,Ronald Sanders,"Port Sharon, Honduras",https://medium.com/@guzmanrebecca,1,2022-02-05,https://medium.com/article/521d1871-b64e-4d61-b385-e453233be97b,43,1384,"Health,Wellness",11,PayPal,894-085-5610,richardwells@gmail.com
24,Joshua Walker,"Timothyburgh, Denmark",https://medium.com/@joanne21,1,2018-07-17,https://medium.com/article/ad79597d-e0d7-4246-9b33-5e3caf8d0c6f,18,779,"AI,ML,Data",1,Bank Transfer,+1-017-136-4971,ssmith@gmail.com
25,Brian Jackson,"Hermanborough, Armenia",https://medium.com/@shawnmartinez,1,2021-05-07,https://medium.com/article/2bbe02b9-5d65-47a2-a785-7ebab1e488d7,43,1766,"Cooking,Lifestyle",8,Stripe,9140128222,markhall@gmail.com
26,Amber Wilson,"Wilsonfort, Western Sahara",https://medium.com/@taylorjessica,4,2018-12-28,https://medium.com/article/f7ed30c1-c613-40d2-b533-49ad2910eb15,20,909,"ML,Deep Learning",8,Bank Transfer,5986481111,marvin62@gmail.com
27,Sara Macias,"Port Ralphview, Niger",https://medium.com/@kaitlyn49,0,2016-12-05,https://medium.com/article/c6437c44-eaf6-404a-8551-daaf6b8b8167,18,1816,"ML,Deep Learning",7,CashApp,(150)332-4540677,edaniel@gmail.com
28,Nicholas Salazar,"Lake Karenside, Botswana",https://medium.com/@xwade,4,2025-08-17,https://medium.com/article/9e5dc9bb-5eb7-4adf-8319-f60db92fe4e9,23,83,"Health,Wellness",4,Wise,001-912-004-6559830,bensonamanda@gmail.com
29,Timothy Cantrell,"Camachostad, United States Virgin Islands",https://medium.com/@crystaldavidson,2,2023-07-10,https://medium.com/article/0899b4b9-34df-4caa-8d96-e75f60a6a47e,13,227,"Travel,Blog",11,PayPal,+1-484-338-8014383,chelsea14@gmail.com
30,Todd Dyer,"Lake Aprilshire, Saint Helena",https://medium.com/@ycruz,4,2015-10-09,https://medium.com/article/f9bd92da-f527-44a0-bbab-b2d4f276c7c8,16,196,"Finance,Investing",1,Bank Transfer,(459)053-5534,rhill@gmail.com
31,Laura Hernandez,"Jonesfort, Spain",https://medium.com/@fishershane,2,2022-05-24,https://medium.com/article/942cafb4-6bb6-4ba9-9666-fe7a002f4e31,29,791,"Cooking,Lifestyle",9,PayPal,(327)131-4170,wcarlson@gmail.com
32,Robert Brown,"Lake Caleb, Estonia",https://medium.com/@brad95,1,2024-12-30,https://medium.com/article/7a451a8d-908a-49f3-bf12-c23dfa19a902,28,1253,"AI,ML,Data",5,Wise,1155586637,aowens@gmail.com
