writer_id,name,country,medium_link,subscribed_times,last_article_date,articles_link,articles_published,avg_article_length,topic_tags,personal_projects_count,payment_method,note,phone_number,email
1,Christian Barajas,"New Richardland, Cape Verde",https://medium.com/@jeremy72,4,2022-12-04,https://medium.com/article/adfe0a20-9bb2-412d-85a5-8042d6edff7a,2,248,"AI,ML,Data",1,Stripe,Agreement administration before building.,716.224.8538x57236,mmorris@yahoo.com
2,Edward Zavala,"West Stephanie, Korea",https://medium.com/@fellis,3,2022-03-13,https://medium.com/article/d56e2b03-b119-4005-99da-b6fd98a5492b,14,225,"ML,Deep Learning",5,PayPal,Available company behavior rule rule body until cup.,(311)174-0311x36277,markschmitt@smith.com
3,Matthew Stanton,"New Matthewfurt, Guam",https://medium.com/@zrobinson,3,2016-01-26,https://medium.com/article/fac2d12d-af0c-4a5c-a289-1e8cf9e043f9,45,643,"AI,ML,Data",14,Wise,Task eight nearly successful near look talk.,+1-328-808-5558,lpowell@yahoo.com
4,Ian Marshall,"Rachaelmouth, Lithuania",https://medium.com/@wrightbenjamin,4,2024-10-08,https://medium.com/article/2015dabd-5703-4499-befc-bbc60bf8e1ee,50,1721,"Health,Wellness",5,PayPal,Appear character likely hit its.,8560587534,andreastewart@gmail.com
5,Logan Garcia,"Markstad, Uruguay",https://medium.com/@tinacabrera,3,2023-02-16,https://medium.com/article/9d317253-36d2-4a4e-9c8d-d8babe65ff08,2,356,"Startups,Entrepreneurship",14,CashApp,Point local set collection listen past draw test address attorney suddenly rather specific.,001-334-454-0227,montgomeryjoel@lewis-stephens.com
6,Michelle Jefferson MD,"South Ian, Djibouti",https://medium.com/@bnoble,3,2023-01-20,https://medium.com/article/1b7c05c4-3fad-44d6-a06f-23d280701def,5,1058,"Startups,Entrepreneurship",10,Bank Transfer,Right century popular newspaper fact attack entire ten civil country pick exactly dog figure everyone other sing bar sing control build.,+1-275-529-8148,garyjones@medina-wright.com
7,Cristian Watkins,"Rodriguezview, Argentina",https://medium.com/@haydenjodi,1,2021-04-04,https://medium.com/article/001593c2-5712-4286-b249-b0413df2baf2,37,866,"Finance,Investing",12,Wise,Least there anything attorney economy finally attention story.,+1-195-184-8079x3167,staceyrobertson@hotmail.com
8,Brian Smith,"New Maxwell, Montserrat",https://medium.com/@grace20,1,2018-09-04,https://medium.com/article/9fc8cd8d-6b7f-4256-8154-7eab44d69702,35,573,"Health,Wellness",10,Wise,Space hospital Congress figure run pretty blue provide short.,752-791-1024x52187,jstevens@williams.com
9,George Dunn,"Richardhaven, Cape Verde",https://medium.com/@melissa10,4,2021-10-24,https://medium.com/article/7782195b-e0c3-42aa-8e43-8f38aaa1e25d,31,808,"AI,NLP",3,CashApp,Pm us image wait focus final.,(930)798-6421x3281,natalieflynn@yahoo.com
10,Alan Phillips,"Cohenfurt, Macedonia",https://medium.com/@charles70,1,2016-08-15,https://medium.com/article/e5a0a5fb-f01d-4574-a985-f3663d346279,10,962,"Travel,Blog",9,CashApp,After take candidate nature from.,119-926-8710,mcbridedaniel@hotmail.com
11,Leslie Carpenter,"Port Melissafort, Bhutan",https://medium.com/@misty83,4,2024-07-09,https://medium.com/article/ec5dc10e-743d-4245-a4d2-e9c685f50501,14,1141,"Travel,Blog",13,PayPal,Federal chair rich current stage set visit quality west.,+1-707-554-2093x0698,halldominique@yahoo.com
12,Matthew Goodman,"Greenton, Guernsey",https://medium.com/@hughesernest,1,2021-11-23,https://medium.com/article/ecd2ebfa-ae34-4d80-860f-f13757262737,1,358,"Startups,Entrepreneurship",1,Wise,Enter impact job education imagine film half always customer gas manager explain west nothing accept four certain democratic different keep.,(452)604-6931x6424,sarahbryant@long.com
13,Sally Williams,"Coryside, Mali",https://medium.com/@vschmidt,1,2015-09-02,https://medium.com/article/4915bc6c-8f49-4b97-9a3c-a734d47dfd42,44,786,"AI,ML,Data",8,Wise,Next place next save result as someone success response avoid if film policy during letter concern institution response want common moment Democrat have hot how from need.,001-459-166-4607x49889,natashameadows@gmail.com
14,Matthew Mora,"Matthewchester, New Zealand",https://medium.com/@kathrynbauer,2,2019-11-12,https://medium.com/article/b6c644aa-c2bc-44ab-b17c-8a82a0bffe62,46,864,"AI,ML,Data",8,CashApp,Tough civil also.,349.480.9908x669,nathanbest@barker.org
15,Jason Horton,"West Sarah, Turks and Caicos Islands",https://medium.com/@jeffrey44,3,2016-01-20,https://medium.com/article/4337ea5e-588d-402b-8d67-1c21ca9d9caa,24,195,"Finance,Investing",11,Stripe,Although process citizen effect kid make together.,(636)355-4898x114,bprice@gmail.com
16,Christopher Griffin,"Tracyburgh, Burkina Faso",https://medium.com/@zdixon,4,2019-10-02,https://medium.com/article/ae2a3b86-d92e-4f90-a0b1-ae5fceceda31,17,191,"AI,ML,Data",12,PayPal,Yes middle fall them in tell situation likely.,+1-188-831-0210x8200,kleinroberta@jefferson-wood.biz
17,Gabriel Kelley,"Lake George, Armenia",https://medium.com/@wmiller,3,2018-12-14,https://medium.com/article/31df5236-6ebf-46b2-a402-c609bf986658,29,814,"ML,Deep Learning",5,Bank Transfer,Season like institution risk data camera imagine day such thank staff push produce already officer through treatment per message.,082-860-1720x9728,cantufred@yahoo.com
18,Taylor Miller,"Smithton, Korea",https://medium.com/@gthomas,4,2020-06-16,https://medium.com/article/d45e5627-9087-478a-94e4-f494293b910d,16,332,"Health,Wellness",9,Bank Transfer,Cost according mean television property respond challenge something social option everything Congress rich.,+1-143-913-2944x203,ihoward@hotmail.com
19,Kimberly Guzman,"Alvarezberg, Indonesia",https://medium.com/@mflores,1,2020-05-22,https://medium.com/article/cda87095-3342-4b7f-bae3-dc0086e54f91,27,1031,"Startups,Entrepreneurship",0,CashApp,Chance field lead to word hundred south strong group contain try nation family age require data cell make.,998-354-2239,qgill@cortez-parrish.com
20,Nicolas Mendez,"Choifurt, Sudan",https://medium.com/@christophershepherd,0,2019-06-29,https://medium.com/article/5a816d82-755a-4352-b38b-6f76b54e8754,6,1884,"Finance,Investing",5,Bank Transfer,Yard organization watch yard bring hair.,(033)256-9051x46534,elizabeth46@yahoo.com
21,Jordan Larson,"Arnoldville, Korea",https://medium.com/@knoxmolly,3,2023-12-31,https://medium.com/article/92f14351-bc6e-4779-a11e-1d09badf12a0,17,756,"AI,ML,Data",5,Wise,Actually law test computer probably week despite part series close reveal effect.,+1-651-533-3570x999,sarahbrown@yahoo.com
22,Mark Richardson,"Robertbury, Tanzania",https://medium.com/@colonbenjamin,4,2017-11-11,https://medium.com/article/5c8b0308-a009-4435-924e-92307d9cb893,0,605,"Startups,Entrepreneurship",7,Stripe,Get matter from very care position fish condition style within difference feel paper return art whether range drug decide face throw.,016-286-6806,rosekara@allen-ruiz.com
23,Ronald Sanders,"Port Sharon, Honduras",https://medium.com/@guzmanrebecca,1,2022-02-05,https://medium.com/article/521d1871-b64e-4d61-b385-e453233be97b,43,1384,"Health,Wellness",11,PayPal,During information life form light agent Mr wind scientist subject whose effect suggest month few help bad body general bit bit note.,894-085-5610,richardwells@hotmail.com
24,Joshua Walker,"Timothyburgh, Denmark",https://medium.com/@joanne21,1,2018-07-17,https://medium.com/article/ad79597d-e0d7-4246-9b33-5e3caf8d0c6f,18,779,"AI,ML,Data",1,Bank Transfer,Through truth young boy approach situation.,+1-017-136-4971,ssmith@yahoo.com
25,Brian Jackson,"Hermanborough, Armenia",https://medium.com/@shawnmartinez,1,2021-05-07,https://medium.com/article/2bbe02b9-5d65-47a2-a785-7ebab1e488d7,43,1766,"Cooking,Lifestyle",8,Stripe,Development officer project eye trade mouth available responsibility catch anyone person.,914.012.8222,markhall@hotmail.com
